id,type,direction,angle,location,category,rating
4,0,1,0,0,easiness,5
4,0,1,0,0,comfort,5
4,0,1,0,0,confidence,4
4,0,1,0,0,social,4
4,0,1,1,0,easiness,3
4,0,1,1,0,comfort,3
4,0,1,1,0,confidence,3
4,0,1,1,0,social,4
4,0,1,2,0,easiness,4
4,0,1,2,0,comfort,4
4,0,1,2,0,confidence,4
4,0,1,2,0,social,4
16,0,0,0,0,easiness,3
16,0,0,0,0,comfort,3
16,0,0,0,0,confidence,6
16,0,0,0,0,social,7
16,0,0,1,0,easiness,5
16,0,0,1,0,comfort,5
16,0,0,1,0,confidence,7
16,0,0,1,0,social,7
16,0,0,2,0,easiness,7
16,0,0,2,0,comfort,7
16,0,0,2,0,confidence,7
16,0,0,2,0,social,7
16,0,1,0,0,easiness,5
16,0,1,0,0,comfort,5
16,0,1,0,0,confidence,3
16,0,1,0,0,social,5
16,0,1,1,0,easiness,1
16,0,1,1,0,comfort,1
16,0,1,1,0,confidence,1
16,0,1,1,0,social,6
16,0,1,2,0,easiness,1
16,0,1,2,0,comfort,1
16,0,1,2,0,confidence,1
16,0,1,2,0,social,6
21,0,0,0,0,easiness,7
21,0,0,0,0,comfort,7
21,0,0,0,0,confidence,7
21,0,0,0,0,social,7
21,0,0,1,0,easiness,7
21,0,0,1,0,comfort,7
21,0,0,1,0,confidence,7
21,0,0,1,0,social,7
21,0,0,2,0,easiness,7
21,0,0,2,0,comfort,7
21,0,0,2,0,confidence,7
21,0,0,2,0,social,7
21,0,1,0,0,easiness,7
21,0,1,0,0,comfort,7
21,0,1,0,0,confidence,7
21,0,1,0,0,social,7
21,0,1,1,0,easiness,7
21,0,1,1,0,comfort,7
21,0,1,1,0,confidence,7
21,0,1,1,0,social,7
21,0,1,2,0,easiness,5
21,0,1,2,0,comfort,4
21,0,1,2,0,confidence,6
21,0,1,2,0,social,7
11,0,0,0,0,easiness,3
11,0,0,0,0,comfort,7
11,0,0,0,0,confidence,7
11,0,0,0,0,social,7
11,0,0,1,0,easiness,7
11,0,0,1,0,comfort,6
11,0,0,1,0,confidence,7
11,0,0,1,0,social,7
11,0,0,2,0,easiness,7
