id,type,direction,angle,location,block,trial,errors,time,correct
1,1,0,-1,1,3,1,0,979,true
1,1,1,-1,1,3,0,1,2862,true
1,1,1,-1,1,3,1,1,2678,true
1,1,1,-1,3,3,0,1,1921,true
1,1,1,-1,3,3,1,0,1498,true
1,1,0,-1,3,3,0,0,1118,true
1,1,0,-1,3,3,1,1,1020,true
1,1,0,-1,6,3,0,0,1064,true
1,1,0,-1,6,3,1,0,1027,true
1,1,1,-1,6,3,0,0,1420,true
1,1,1,-1,6,3,1,0,1461,true
1,1,1,-1,8,3,0,0,1282,true
1,1,1,-1,8,3,1,0,1632,true
1,1,0,-1,8,3,0,0,1182,true
1,1,0,-1,8,3,1,0,1271,true
1,1,1,-1,2,3,0,0,1970,true
1,1,1,-1,2,3,1,1,2353,true
1,1,0,-1,2,3,0,0,972,true
1,1,0,-1,2,3,1,0,1071,true
1,1,0,-1,4,3,0,0,1134,true
1,1,0,-1,4,3,1,1,1017,true
1,1,1,-1,4,3,0,1,815,true
1,1,1,-1,4,3,1,0,1274,true
1,1,0,-1,7,3,0,0,1034,true
1,1,0,-1,7,3,1,0,1220,true
1,1,1,-1,7,3,0,0,1113,true
1,1,1,-1,7,3,1,0,1384,true
1,2,0,1,3,1,0,1,1428,true
1,2,0,1,3,1,1,0,1641,true
1,2,0,0,3,1,0,0,1737,true
1,2,0,0,3,1,1,0,1809,true
1,2,0,0,6,1,0,0,1320,true
1,2,0,0,6,1,1,0,1740,true
1,2,0,1,6,1,0,1,1236,true
1,2,0,1,6,1,1,0,1402,true
1,2,0,0,4,1,0,0,1687,true
1,2,0,0,4,1,1,0,1722,true
1,2,0,1,4,1,0,1,1862,true
1,2,0,1,4,1,1,0,2445,true
1,2,0,1,5,1,0,0,2368,true
1,2,0,1,5,1,1,0,1360,true
1,2,0,0,5,1,0,0,1465,true
1,2,0,0,5,1,1,0,1691,true
1,2,0,1,5,2,0,0,1573,true
1,2,0,1,5,2,1,0,1912,true
1,2,0,0,5,2,0,0,1232,true
1,2,0,0,5,2,1,0,1718,true
1,2,0,1,6,2,0,0,2117,true
1,2,0,1,6,2,1,0,1451,true
1,2,0,0,6,2,0,0,1320,true
1,2,0,0,6,2,1,0,1383,true
1,2,0,1,3,2,0,0,1672,true
1,2,0,1,3,2,1,0,2717,true
1,2,0,0,3,2,0,0,1430,true
1,2,0,0,3,2,1,0,1498,true
1,2,0,1,4,2,0,0,1501,true
1,2,0,1,4,2,1,1,1288,true
1,2,0,0,4,2,0,0,1880,true
1,2,0,0,4,2,1,0,1478,true
1,2,0,1,5,3,0,0,1560,true
1,2,0,1,5,3,1,0,1468,true
1,2,0,0,5,3,0,0,1392,true
1,2,0,0,5,3,1,0,1454,true
